시도,No,자치구/시군명,한자명,오행,오행한자,상태,비고
경상북도,211,칠곡군,漆谷郡,수,水,유지,
경상북도,212,울진군,蔚珍郡,목금,木金,유지,
경상북도,213,경주시,慶州市,목,木,유지,
경상북도,214,구미시,龜尾市,화,火,유지,
경상북도,215,상주시,尙州市,목,木,유지,
경상북도,216,군위군,軍威郡,금,金,유지,
경상북도,217,영양군,英陽郡,목,木,유지,
경상북도,218,고령군,高靈郡,목,木,유지,
경상북도,219,예천군,醴泉郡,화,火,유지,
경상북도,220,울릉군,鬱陵郡,토,土,유지,
경상북도,221,김천시,金泉市,금수,金水,유지,
경상북도,222,영주시,榮州市,화,火,유지,
경상북도,223,문경시,聞慶市,토,土,유지,
경상북도,224,의성군,義城郡,금토,金土,유지,
경상북도,225,영덕군,盈德郡,목,木,유지,
경상북도,226,성주군,星州郡,화,火,유지,
경상북도,227,봉화군,奉化郡,화,火,유지,
제주,228,제주시,濟州市,수,水,유지,
제주,229,서귀포시,西歸浦市,금수,金水,유지,
세종,230,세종특별자치시,世宗特別自治市,금,金,검수필요,
